日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代號
 99/01/04,"2,963,358","185,013,022",62.50,62.80,61.60,62.70,+0.30,911,3045
 99/01/05,"2,054,920","128,592,091",62.80,62.80,62.20,62.80,+0.10,"1,078",3045
 99/01/06,"4,130,891","255,823,512",62.80,62.80,61.40,62.50,-0.30,"1,565",3045
 99/01/07,"6,942,051","423,607,073",61.80,62.00,60.10,60.60,-1.90,"3,099",3045
 99/01/08,"6,388,499","388,114,527",60.60,61.60,60.00,60.60, 0.00,"2,328",3045
 99/01/11,"2,513,248","153,200,928",60.60,61.40,60.50,61.40,+0.80,"1,202",3045
 99/01/12,"2,913,558","178,280,762",61.40,61.90,60.90,61.90,+0.50,991,3045
 99/01/13,"4,130,510","253,912,846",61.50,61.70,61.10,61.10,-0.80,"1,333",3045
 99/01/14,"2,188,628","134,982,614",62.00,62.00,61.30,61.50,+0.40,867,3045
 99/01/15,"3,496,782","215,551,787",61.50,62.30,61.00,62.30,+0.80,"1,097",3045
 99/01/18,"3,831,742","238,848,704",62.00,62.90,61.80,62.30, 0.00,"1,060",3045
 99/01/19,"2,672,354","166,156,307",62.80,62.80,61.90,62.50,+0.20,877,3045
 99/01/20,"3,605,169","223,837,438",61.90,62.50,61.80,62.00,-0.50,"1,244",3045
 99/01/21,"4,065,941","253,443,211",62.00,62.80,61.80,62.60,+0.60,"1,140",3045
 99/01/22,"3,956,059","245,255,532",61.70,62.40,61.70,61.90,-0.70,"1,459",3045
 99/01/25,"2,861,067","176,125,717",61.50,62.30,61.40,61.80,-0.10,890,3045
 99/01/26,"6,269,383","381,530,563",62.20,62.20,60.40,61.00,-0.80,"2,267",3045
 99/01/27,"6,163,188","378,463,738",60.80,62.50,60.50,61.70,+0.70,"1,665",3045
 99/01/28,"4,507,928","274,443,613",62.50,62.50,60.70,60.70,-1.00,"1,883",3045
 99/01/29,"9,365,763","572,204,395",60.70,62.00,60.30,61.90,+1.20,"2,339",3045
 99/02/01,"5,107,312","309,582,126",61.80,61.80,60.20,60.90,-1.00,"1,877",3045
 99/02/02,"5,889,696","357,321,757",60.90,61.30,60.00,60.30,-0.60,"2,514",3045
 99/02/03,"5,256,939","319,865,790",60.50,61.20,60.40,61.00,+0.70,"1,535",3045
 99/02/04,"5,139,744","314,359,455",60.80,61.90,60.50,61.80,+0.80,"1,779",3045
 99/02/05,"7,786,139","475,938,639",60.90,61.80,60.60,61.00,-0.80,"1,849",3045
 99/02/06,"4,006,538","246,996,685",61.00,62.00,61.00,61.70,+0.70,"1,445",3045
 99/02/08,"5,449,293","330,398,173",61.70,61.70,60.10,60.30,-1.40,"1,912",3045
 99/02/09,"10,420,880","624,242,600",60.20,60.50,59.50,60.00,-0.30,"2,831",3045
 99/02/10,"5,813,989","347,042,726",60.00,60.00,59.30,60.00, 0.00,"1,768",3045
 99/02/22,"10,721,494","637,860,981",60.60,60.60,58.90,59.30,-0.70,"3,967",3045
 99/02/23,"2,913,333","173,491,040",59.90,59.90,59.20,59.80,+0.50,"1,085",3045
 99/02/24,"3,468,380","207,118,081",59.60,60.00,59.40,59.60,-0.20,"1,435",3045
 99/02/25,"5,075,362","303,710,204",59.60,60.20,59.50,59.80,+0.20,"1,444",3045
 99/02/26,"2,288,446","137,230,607",59.50,60.20,59.50,60.10,+0.30,838,3045
 99/03/01,"6,198,350","377,954,124",60.40,61.40,60.20,60.40,+0.30,"2,013",3045
 99/03/02,"15,527,275","946,613,694",60.70,61.40,60.50,61.40,+1.00,"1,544",3045
 99/03/03,"3,400,106","205,655,605",61.40,61.40,60.20,60.50,-0.90,"1,062",3045
 99/03/04,"5,738,507","343,487,415",60.20,60.30,59.50,59.70,-0.80,"1,997",3045
 99/03/05,"2,727,568","164,309,627",60.00,60.60,59.70,60.40,+0.70,654,3045
 99/03/08,"3,275,248","196,899,280",60.70,60.80,59.90,60.10,-0.30,"1,336",3045
